time,type,measurementId,measurementValue
2023-11-03T04:29:49Z,Air Humidity,4098,99
2023-11-03T04:29:49Z,Air Temperature,4097,12.1
2023-11-03T04:29:49Z,Barometric Pressure,4101,98000
2023-11-03T04:29:49Z,Light Intensity,4099,0
2023-11-03T04:29:49Z,Rain Gauge,4113,0
2023-11-03T04:29:49Z,UV Index,4190,0
2023-11-03T04:29:49Z,Wind Direction Sensor,4104,112
2023-11-03T04:29:49Z,Wind Speed,4105,0
2023-11-03T04:14:43Z,Air Humidity,4098,99
2023-11-03T04:14:43Z,Air Temperature,4097,12.3
2023-11-03T04:14:43Z,Barometric Pressure,4101,97970
2023-11-03T04:14:43Z,Light Intensity,4099,0
2023-11-03T04:14:43Z,Rain Gauge,4113,1.524
2023-11-03T04:14:43Z,UV Index,4190,0
2023-11-03T04:14:43Z,Wind Direction Sensor,4104,112
2023-11-03T04:14:43Z,Wind Speed,4105,0
2023-11-03T03:59:36Z,Air Humidity,4098,99
2023-11-03T03:59:36Z,Air Temperature,4097,12.4
2023-11-03T03:59:36Z,Barometric Pressure,4101,98000
2023-11-03T03:59:36Z,Light Intensity,4099,0
2023-11-03T03:59:36Z,Rain Gauge,4113,1.524
2023-11-03T03:59:36Z,UV Index,4190,0
2023-11-03T03:59:36Z,Wind Direction Sensor,4104,112
2023-11-03T03:59:36Z,Wind Speed,4105,0
2023-11-03T03:44:30Z,Air Humidity,4098,99
2023-11-03T03:44:30Z,Air Temperature,4097,12.4
2023-11-03T03:44:30Z,Barometric Pressure,4101,98030
2023-11-03T03:44:30Z,Light Intensity,4099,0
2023-11-03T03:44:30Z,Rain Gauge,4113,1.524
2023-11-03T03:44:30Z,UV Index,4190,0
2023-11-03T03:44:30Z,Wind Direction Sensor,4104,112
2023-11-03T03:44:30Z,Wind Speed,4105,0
2023-11-03T03:29:24Z,Air Humidity,4098,99
2023-11-03T03:29:24Z,Air Temperature,4097,12.4
2023-11-03T03:29:24Z,Barometric Pressure,4101,98070
2023-11-03T03:29:24Z,Light Intensity,4099,0
2023-11-03T03:29:24Z,Rain Gauge,4113,0
2023-11-03T03:29:24Z,UV Index,4190,0
2023-11-03T03:29:24Z,Wind Direction Sensor,4104,112
2023-11-03T03:29:24Z,Wind Speed,4105,0
2023-11-03T03:14:17Z,Air Humidity,4098,99
2023-11-03T03:14:17Z,Air Temperature,4097,12.3
2023-11-03T03:14:17Z,Barometric Pressure,4101,98080
2023-11-03T03:14:17Z,Light Intensity,4099,0
2023-11-03T03:14:17Z,Rain Gauge,4113,0
2023-11-03T03:14:17Z,UV Index,4190,0
2023-11-03T03:14:17Z,Wind Direction Sensor,4104,112
2023-11-03T03:14:17Z,Wind Speed,4105,0
2023-11-03T02:59:11Z,Air Humidity,4098,99
2023-11-03T02:59:11Z,Air Temperature,4097,12.3
2023-11-03T02:59:11Z,Barometric Pressure,4101,98070
2023-11-03T02:59:11Z,Light Intensity,4099,0
2023-11-03T02:59:11Z,Rain Gauge,4113,0
2023-11-03T02:59:11Z,UV Index,4190,0
2023-11-03T02:59:11Z,Wind Direction Sensor,4104,112
2023-11-03T02:59:11Z,Wind Speed,4105,0
2023-11-03T02:44:05Z,Air Humidity,4098,99
2023-11-03T02:44:05Z,Air Temperature,4097,12.4
2023-11-03T02:44:05Z,Barometric Pressure,4101,98090
2023-11-03T02:44:05Z,Light Intensity,4099,0
2023-11-03T02:44:05Z,Rain Gauge,4113,0
2023-11-03T02:44:05Z,UV Index,4190,0
2023-11-03T02:44:05Z,Wind Direction Sensor,4104,112
2023-11-03T02:44:05Z,Wind Speed,4105,0
2023-11-03T02:28:58Z,Air Humidity,4098,99
2023-11-03T02:28:58Z,Air Temperature,4097,12.4
2023-11-03T02:28:58Z,Barometric Pressure,4101,98120
2023-11-03T02:28:58Z,Light Intensity,4099,0
2023-11-03T02:28:58Z,Rain Gauge,4113,0
2023-11-03T02:28:58Z,UV Index,4190,0
2023-11-03T02:28:58Z,Wind Direction Sensor,4104,112
2023-11-03T02:28:58Z,Wind Speed,4105,0
2023-11-03T02:13:52Z,Air Humidity,4098,99
2023-11-03T02:13:52Z,Air Temperature,4097,12.3
2023-11-03T02:13:52Z,Barometric Pressure,4101,98140
2023-11-03T02:13:52Z,Light Intensity,4099,0
2023-11-03T02:13:52Z,Rain Gauge,4113,0
2023-11-03T02:13:52Z,UV Index,4190,0
2023-11-03T02:13:52Z,Wind Direction Sensor,4104,112
2023-11-03T02:13:52Z,Wind Speed,4105,0
2023-11-03T01:58:46Z,Air Humidity,4098,99
2023-11-03T01:58:46Z,Air Temperature,4097,12.2
2023-11-03T01:58:46Z,Barometric Pressure,4101,98210
2023-11-03T01:58:46Z,Light Intensity,4099,0
2023-11-03T01:58:46Z,Rain Gauge,4113,0
2023-11-03T01:58:46Z,UV Index,4190,0
2023-11-03T01:58:46Z,Wind Direction Sensor,4104,112
2023-11-03T01:58:46Z,Wind Speed,4105,0
2023-11-03T01:43:39Z,Air Humidity,4098,99
2023-11-03T01:43:39Z,Air Temperature,4097,12.1
2023-11-03T01:43:39Z,Barometric Pressure,4101,98170
2023-11-03T01:43:39Z,Light Intensity,4099,0
2023-11-03T01:43:39Z,Rain Gauge,4113,0
2023-11-03T01:43:39Z,UV Index,4190,0
2023-11-03T01:43:39Z,Wind Direction Sensor,4104,112
2023-11-03T01:43:39Z,Wind Speed,4105,0
2023-11-03T01:28:33Z,Air Humidity,4098,99
2023-11-03T01:28:33Z,Air Temperature,4097,12.2
2023-11-03T01:28:33Z,Barometric Pressure,4101,98180
2023-11-03T01:28:33Z,Light Intensity,4099,0
2023-11-03T01:28:33Z,Rain Gauge,4113,0
2023-11-03T01:28:33Z,UV Index,4190,0
2023-11-03T01:28:33Z,Wind Direction Sensor,4104,112
2023-11-03T01:28:33Z,Wind Speed,4105,0
2023-11-03T01:13:27Z,Air Humidity,4098,99
2023-11-03T01:13:27Z,Air Temperature,4097,12.4
2023-11-03T01:13:27Z,Barometric Pressure,4101,98220
2023-11-03T01:13:27Z,Light Intensity,4099,0
2023-11-03T01:13:27Z,Rain Gauge,4113,1.524
2023-11-03T01:13:27Z,UV Index,4190,0
2023-11-03T01:13:27Z,Wind Direction Sensor,4104,112
2023-11-03T01:13:27Z,Wind Speed,4105,0
2023-11-03T00:58:20Z,Air Humidity,4098,99
2023-11-03T00:58:20Z,Air Temperature,4097,12.6
2023-11-03T00:58:20Z,Barometric Pressure,4101,98190
2023-11-03T00:58:20Z,Light Intensity,4099,0
2023-11-03T00:58:20Z,Rain Gauge,4113,0
2023-11-03T00:58:20Z,UV Index,4190,0
2023-11-03T00:58:20Z,Wind Direction Sensor,4104,112
2023-11-03T00:58:20Z,Wind Speed,4105,0
2023-11-03T00:43:14Z,Air Humidity,4098,99
2023-11-03T00:43:14Z,Air Temperature,4097,12.8
2023-11-03T00:43:14Z,Barometric Pressure,4101,98270
2023-11-03T00:43:14Z,Light Intensity,4099,0
2023-11-03T00:43:14Z,Rain Gauge,4113,0
2023-11-03T00:43:14Z,UV Index,4190,0
2023-11-03T00:43:14Z,Wind Direction Sensor,4104,112
2023-11-03T00:43:14Z,Wind Speed,4105,0
2023-11-03T00:28:08Z,Air Humidity,4098,99
2023-11-03T00:28:08Z,Air Temperature,4097,12.8
2023-11-03T00:28:08Z,Barometric Pressure,4101,98160
2023-11-03T00:28:08Z,Light Intensity,4099,0
2023-11-03T00:28:08Z,Rain Gauge,4113,0
2023-11-03T00:28:08Z,UV Index,4190,0
2023-11-03T00:28:08Z,Wind Direction Sensor,4104,112
2023-11-03T00:28:08Z,Wind Speed,4105,0
2023-11-03T00:13:01Z,Air Humidity,4098,99
2023-11-03T00:13:01Z,Air Temperature,4097,12.8
2023-11-03T00:13:01Z,Barometric Pressure,4101,98290
2023-11-03T00:13:01Z,Light Intensity,4099,0
2023-11-03T00:13:01Z,Rain Gauge,4113,0
2023-11-03T00:13:01Z,UV Index,4190,0
2023-11-03T00:13:01Z,Wind Direction Sensor,4104,112
2023-11-03T00:13:01Z,Wind Speed,4105,0
2023-11-02T23:57:55Z,Air Humidity,4098,99
